source,target,Correlation
421,472,0.9592474455234192
474,476,0.9560702055227276
423,474,0.9523566405928936
476,478,0.948390771750468
474,478,0.9433410496579684
423,472,0.9418229124025724
95,99,0.9324497158124712
252,547,0.9312964389614592
518,519,0.9275944001704506
123,126,0.9270065316751784
126,237,0.9224726598915316
414,518,0.9218084338179088
310,518,0.9208915358258446
276,277,0.9186175795337804
472,474,0.9161291960349488
99,185,0.915385233796628
414,519,0.9115947655476756
20,25,0.9108851210939536
423,476,0.9108040114888206
392,479,0.9073483404093902
84,404,0.9064335120692844
472,476,0.905340753686946
182,574,0.9009063165979782
95,182,0.9000428491826503
79,153,0.8999321132818224
123,237,0.8979650751388365
416,519,0.897561403599519
99,110,0.897532656834778
249,547,0.8973592135441923
313,566,0.8970022040244147
421,519,0.8965554131381898
472,519,0.8960032165086945
423,478,0.895672278884444
370,372,0.895592021760937
95,313,0.8954859372125938
95,392,0.8950872490618127
99,574,0.8949789888436546
421,423,0.8922447075290477
83,85,0.8919121487867788
476,479,0.8917621976216704
183,237,0.8916804437311553
392,574,0.8894298849320689
129,177,0.889390376335038
395,405,0.8884875755728855
99,392,0.8882585879635037
99,182,0.887452423491302
95,574,0.8862280092916954
29,95,0.8860394436445153
313,392,0.8847552822803194
162,542,0.8830295407484897
566,574,0.8826543649944517
99,403,0.8782637822561218
185,392,0.878030330275425
392,566,0.8770936562981664
478,479,0.8770595583047675
386,395,0.8761732569336366
472,478,0.8756584292763019
398,404,0.8748439534540525
185,574,0.8745570806989882
182,392,0.8733356575341135
474,479,0.8726935543133302
25,310,0.8721621934412425
249,252,0.8712101565535858
108,574,0.8709950864122844
164,167,0.8707919558735135
405,574,0.8701887455745132
313,479,0.8691826481995066
462,463,0.8685917246940742
395,574,0.8685135571775441
29,230,0.8669359981553636
94,230,0.8660122026939301
360,404,0.8637751467855233
307,310,0.8630403384173221
126,180,0.8629477049836739
306,310,0.8626478850413285
322,535,0.8616543685164559
276,313,0.861203597376934
29,310,0.8610508749194026
67,109,0.8606329388887666
79,372,0.8604620436159666
547,549,0.8602287704624303
420,423,0.8599014593944996
404,574,0.8592261440587832
79,404,0.8582341033146008
367,373,0.8576270066552125
29,313,0.8572630916211842
180,235,0.8571349710544444
416,472,0.8570098729151259
386,390,0.8564318654236855
372,405,0.8561259642041508
313,574,0.855895041680544
416,421,0.854770064764549
79,84,0.8545032752093601
185,566,0.8542587241222871
395,404,0.8541548798753598
95,566,0.8538598476468132
372,404,0.8536188301011512
570,574,0.8532557157633255
164,460,0.8524708818591594
153,360,0.8517702360159457
310,414,0.8516804501450541
420,472,0.8514668762009958
327,421,0.8506263512181468
99,313,0.8498089768581671
103,107,0.8492829513456273
95,403,0.8491776209807734
423,519,0.8489869523944618
153,404,0.8478390046763409
126,228,0.8476003772991226
386,474,0.847032236000225
67,75,0.8465262116552512
413,518,0.8464998217870185
269,270,0.8464049546214609
84,395,0.8461705282244164
414,535,0.8457033133271548
110,403,0.844679807263555
356,359,0.8446691632416151
108,182,0.8442173083678887
420,421,0.844193037939886
386,397,0.8441266242661897
95,110,0.8440590829471569
29,518,0.8435181526388434
283,571,0.8431660735934606
108,395,0.8425561359489917
547,548,0.8418935332495591
5,11,0.8412580110804704
416,476,0.840003164839915
108,153,0.8398904803658928
270,271,0.8397690320365364
29,306,0.8395017463416312
179,180,0.839182670609067
182,395,0.8388396434678949
183,184,0.8385593850382411
108,283,0.8385064717121773
476,519,0.8384561489351042
126,179,0.8376889681251852
99,566,0.8369010773947114
84,405,0.8368603632810423
84,153,0.8363024258764253
310,519,0.8362775442182578
357,372,0.8358013148265042
182,405,0.835683787893968
99,276,0.8355117221402326
231,237,0.8354877109553283
423,479,0.8349839535739303
227,230,0.8343454235262666
192,247,0.8342329930671122
228,237,0.833243184370172
5,83,0.8331622905251009
75,237,0.8330266227803147
416,423,0.832471596727045
84,574,0.8324261669699081
182,185,0.8322820054957093
167,214,0.8319160367343754
270,564,0.831888966232966
180,237,0.8316832405612787
420,474,0.8307643404735361
474,519,0.8301989677489036
99,108,0.8298223994460461
416,474,0.8294043693807572
421,474,0.8289956655111776
357,405,0.8285088110512551
11,297,0.8284164604834567
280,572,0.827787084336108
96,99,0.8269724273505791
108,185,0.8264767569576342
404,405,0.8264135004731914
357,476,0.8263372475463983
182,566,0.8258212338845536
